Year,Season,IndiaAreaWeighted_tmax_C,ValidDays
1991,Monsoon,74.06615420671311,122
1991,PostMonsoon,72.57786962177086,92
1992,Winter,71.25241503119861,60
1992,PreMonsoon,74.66615656641339,92
1992,Monsoon,74.08160719869642,122
1992,PostMonsoon,72.48881599011169,92
1993,Winter,72.19248151014915,59
1993,PreMonsoon,74.93117699709555,92
1993,Monsoon,74.34737857882693,122
1993,PostMonsoon,72.93984569693767,92
1994,Winter,71.81023346019833,59
1994,PreMonsoon,75.1510124830869,92
1994,Monsoon,74.09121802912618,122
1994,PostMonsoon,72.81135639867281,92
1995,Winter,72.3451270427438,59
1995,PreMonsoon,75.53259889814812,92
1995,Monsoon,75.0882863396877,122
1995,PostMonsoon,73.6148783923211,92
1996,Winter,72.63072346584872,60
1996,PreMonsoon,75.88175312599974,92
1996,Monsoon,74.76709686559613,122
1996,PostMonsoon,73.51513046268069,92
1997,Winter,71.81551656021817,59
1997,PreMonsoon,74.75810026147474,92
1997,Monsoon,74.36088282124798,122
1997,PostMonsoon,72.39777195502371,92
1998,Winter,71.72922082255965,59
1998,PreMonsoon,75.09069176396062,92
1998,Monsoon,74.4748466391666,122
1998,PostMonsoon,72.97707906373334,92
1999,Winter,73.07895904108913,59
1999,PreMonsoon,76.36409783647841,92
1999,Monsoon,75.20450147596323,122
1999,PostMonsoon,74.01434294846284,92
2000,Winter,71.88483377473274,60
2000,PreMonsoon,75.29628833820944,92
2000,Monsoon,74.3362915251008,122
2000,PostMonsoon,73.43488584023248,92
2001,Winter,72.18442043208402,59
2001,PreMonsoon,75.12957792896985,92
2001,Monsoon,74.25214913266312,122
2001,PostMonsoon,73.11352857017441,92
2002,Winter,72.13733084143668,59
2002,PreMonsoon,75.36074672618578,92
2002,Monsoon,74.52797722005515,122
2002,PostMonsoon,73.35588706015723,92
2003,Winter,71.51389388090973,59
2003,PreMonsoon,74.87343337256677,92
2003,Monsoon,74.07032440044259,122
